scenario,group,discipline,service_distribution,capacity,age_threshold,simulated_time,server_utilization,avg_queue_length,avg_system_length,throughput,mean_wait_A,mean_wait_B,mean_wait_total,mean_sojourn_A,mean_sojourn_B,mean_sojourn_total,p95_wait_total,drop_rate_total,drop_rate_A,drop_rate_B,promoted_fraction_A,completed_A,completed_B,replication
dinamica_servico_exponencial,distribuicoes_servico,dynamic_aging,exponential,,2.0,32704.671954712983,0.7632772022109074,2.2999510360571715,3.0632282382680627,0.7644167791873331,3.355715803222419,2.323288691471296,3.0087376995051014,4.345282315996932,3.339464069927266,4.007246919857839,10.596327957417543,0.0,0.0,0.0,0.5119585517199832,16598,8402,7
dinamica_servico_deterministico,distribuicoes_servico,dynamic_aging,deterministic,,2.0,33662.545729260506,0.7426651626727456,1.0900156240452115,1.832680786717959,0.7426651626727458,1.730622869739272,0.9356457345854894,1.4677080316012132,2.7306228697392765,1.9356457345854887,2.467708031601216,5.337745715591154,0.0,0.0,0.0,0.33875209180014343,16732,8268,1
dinamica_servico_deterministico,distribuicoes_servico,dynamic_aging,deterministic,,2.0,33301.8717899203,0.7507085534923872,1.1182083464480856,1.8689168999404822,0.7507085534923872,1.7556640346016126,0.9494146553956675,1.4895372395133142,2.7556640346016232,1.9494146553956675,2.4895372395133215,5.32702284820698,0.0,0.0,0.0,0.34810126582278483,16748,8252,2
dinamica_servico_deterministico,distribuicoes_servico,dynamic_aging,deterministic,,2.0,32983.740567577406,0.7579492067850752,1.2505911169257728,2.0085403237108235,0.7579492067850752,1.9345770459670975,1.0925352480521986,1.6499669182718615,2.934577045967077,2.092535248052199,2.649966918271848,5.94476740144637,0.0,0.0,0.0,0.3758308157099698,16550,8450,3
dinamica_servico_deterministico,distribuicoes_servico,dynamic_aging,deterministic,,2.0,33614.391187131136,0.7437290730873315,1.0489484040844756,1.7926774771717933,0.7437290730873314,1.6569885855684545,0.9091483213805833,1.4101115575547545,2.6569885855684374,1.9091483213805833,2.410111557554743,5.066990080191317,0.0,0.0,0.0,0.3198996955042092,16747,8253,4
dinamica_servico_deterministico,distribuicoes_servico,dynamic_aging,deterministic,,2.0,33348.06145022181,0.7496687637246068,1.1462770926834924,1.8959458564080889,0.7496687637246068,1.7988083607471432,0.9988850796705206,1.5287222641244325,2.7988083607471452,1.9988850796705206,2.528722264124434,5.395945141467564,0.0,0.0,0.0,0.35505102348891976,16559,8441,5
dinamica_servico_deterministico,distribuicoes_servico,dynamic_aging,deterministic,,2.0,32845.561078248145,0.7611378578810808,1.264594885016206,2.0257327428972975,0.7611378578810809,1.9683731540528373,1.0628975443902247,1.661453141401598,2.9683731540528338,2.062897544390225,2.6614531414015956,5.865214186056619,0.0,0.0,0.0,0.381520029045141,16526,8474,6
dinamica_servico_deterministico,distribuicoes_servico,dynamic_aging,deterministic,,2.0,33768.27288851203,0.7403399067088505,1.0328886903485914,1.7732285970574304,0.7403399067088504,1.6546471847835114,0.8859564600315669,1.393876543318662,2.6546471847835336,1.8859564600315673,2.3938765433186764,4.943217039486626,0.0,0.0,0.0,0.33089258698941,16519,8481,7
dinamica_servico_erlang2,distribuicoes_servico,dynamic_aging,erlang2,,2.0,32964.8965665365,0.7590513530920933,1.7784611709713507,2.537512524063435,0.7583824796640839,2.6277047890077183,1.7870770259020508,2.345018484830544,3.631949744693282,2.7813214405184414,3.3459004585653664,8.496509822201915,0.0,0.0,0.0,0.4518228382042784,16593,8407,1
dinamica_servico_erlang2,distribuicoes_servico,dynamic_aging,erlang2,,2.0,33581.30330492835,0.7529491060043184,1.6581066541680143,2.4110557601723577,0.7444618743052487,2.5006162667175293,1.6785598584715082,2.227200305334903,3.5040711980994774,2.7059040282607465,3.2386007974111153,7.996722149577181,0.0,0.0,0.0,0.4394702145511207,16685,8315,2
